discipline	variable	value	type
agricultural studies	1	1.9	Applied science
biology	1	1.0	Life science
business	1	1.0	Social science
ecology	1	0.89	Life science
economics	1	1.0	Social science
education	1	1.0	Social science
law	1	1.53	Social science
mathematics	1	1.35	Formal science
medicine	1	1.83	Applied science
physics/astronomy	1	1.74	Physical science
political science	1	1.05	Social science
sociology/Social sciences	1	1.88	Social science
biology	2	1.08	Life science
economics	2	1.49	Social science
law	2	1.58	Social science
mathematics	2	1.71	Formal science
physics/astronomy	2	2.5	Physical science
political science	2	1.86	Social science
physics/astronomy	3	5.0	Physical science
sociology/Social sciences	3	2.03	Social science
agricultural studies	4	6.18	Applied science
biology	4	1.36	Life science
business	4	1.76	Social science
communications studies	4	1.78	Social science
computer science	4	2.57	Applied science
ecology	4	1.49	Life science
economics	4	1.77	Social science
education	4	1.77	Social science
engineering	4	1.51	Applied science
health	4	1.57	Applied science
law	4	2.08	Social science
management	4	1.92	Social science
mathematics	4	1.91	Formal science
medicine	4	4.66	Applied science
philosophy	4	1.45	Social science
physics/astronomy	4	5.8	Physical science
political science	4	2.54	Social science
psychology	4	2.08	Social science
sociology/Social sciences	4	2.72	Social science
